Frequency (Hz)	Level (dB)
46.875000	-64.649208
93.750000	-74.105988
140.625000	-80.796242
187.500000	-83.879707
234.375000	-83.576088
281.250000	-81.303185
328.125000	-82.290329
375.000000	-82.681740
421.875000	-80.937683
468.750000	-79.369560
515.625000	-78.466301
562.500000	-79.156731
609.375000	-79.671387
656.250000	-79.313873
703.125000	-80.082733
750.000000	-81.830536
796.875000	-81.535500
843.750000	-80.894066
890.625000	-78.421692
937.500000	-77.834000
984.375000	-78.227577
1031.250000	-80.063248
1078.125000	-80.126495
1125.000000	-81.572327
1171.875000	-81.377693
1218.750000	-81.069138
1265.625000	-80.476166
1312.500000	-81.044357
1359.375000	-79.867432
1406.250000	-79.496635
1453.125000	-80.183487
1500.000000	-80.890503
1546.875000	-81.540611
1593.750000	-82.128487
1640.625000	-82.579987
1687.500000	-82.761978
1734.375000	-82.789146
1781.250000	-82.719009
1828.125000	-82.887871
1875.000000	-82.758698
1921.875000	-81.707085
1968.750000	-82.323166
2015.625000	-83.562073
2062.500000	-84.383347
2109.375000	-84.591232
2156.250000	-85.224098
2203.125000	-85.252960
2250.000000	-84.378044
2296.875000	-84.273849
2343.750000	-83.602928
2390.625000	-84.227737
2437.500000	-84.868065
2484.375000	-85.422241
2531.250000	-85.411674
2578.125000	-85.412086
2625.000000	-85.036232
2671.875000	-85.076492
2718.750000	-85.769760
2765.625000	-85.874939
2812.500000	-86.087227
2859.375000	-85.365097
2906.250000	-85.457123
2953.125000	-86.912453
3000.000000	-87.456856
3046.875000	-87.241997
3093.750000	-87.173424
3140.625000	-87.144287
3187.500000	-86.526123
3234.375000	-86.623802
3281.250000	-87.088715
3328.125000	-86.029305
3375.000000	-87.701584
3421.875000	-88.002434
3468.750000	-87.851105
3515.625000	-88.312462
3562.500000	-88.228004
3609.375000	-85.085297
3656.250000	-84.304909
3703.125000	-86.446365
3750.000000	-87.167717
3796.875000	-87.194122
3843.750000	-88.006897
3890.625000	-88.322113
3937.500000	-88.230461
3984.375000	-87.527740
4031.250000	-88.434601
4078.125000	-88.630531
4125.000000	-88.577629
4171.875000	-89.241791
4218.750000	-89.617302
4265.625000	-89.306953
4312.500000	-89.043175
4359.375000	-89.207581
4406.250000	-89.210335
4453.125000	-89.107887
4500.000000	-89.024864
4546.875000	-89.216530
4593.750000	-89.212936
4640.625000	-89.113922
4687.500000	-89.612724
4734.375000	-89.925827
4781.250000	-90.390984
4828.125000	-90.948387
4875.000000	-90.532463
4921.875000	-90.282059
4968.750000	-90.665482
5015.625000	-90.619583
5062.500000	-90.984734
5109.375000	-90.706985
5156.250000	-90.874847
5203.125000	-90.851761
5250.000000	-90.767128
5296.875000	-91.033340
5343.750000	-91.346931
5390.625000	-90.936974
5437.500000	-91.158028
5484.375000	-90.488220
5531.250000	-90.791855
5578.125000	-91.127762
5625.000000	-90.550041
5671.875000	-90.829781
5718.750000	-91.240204
5765.625000	-91.769157
5812.500000	-91.657097
5859.375000	-91.349068
5906.250000	-91.293869
5953.125000	-91.190460
6000.000000	-91.009621
6046.875000	-90.362579
6093.750000	-91.034630
6140.625000	-91.673828
6187.500000	-91.910812
6234.375000	-92.174774
6281.250000	-91.993179
6328.125000	-91.670212
6375.000000	-91.869751
6421.875000	-91.679535
6468.750000	-91.822639
6515.625000	-92.123085
6562.500000	-92.495331
6609.375000	-92.466240
6656.250000	-92.421585
6703.125000	-92.403984
6750.000000	-92.361664
6796.875000	-92.562553
6843.750000	-92.829346
6890.625000	-92.697617
6937.500000	-92.665207
6984.375000	-92.522346
7031.250000	-92.130989
7078.125000	-92.216911
7125.000000	-92.323715
7171.875000	-92.446465
7218.750000	-92.781204
7265.625000	-92.164436
7312.500000	-92.213013
7359.375000	-92.271141
7406.250000	-92.430931
7453.125000	-92.348106
7500.000000	-92.511864
7546.875000	-92.681969
7593.750000	-92.681427
7640.625000	-92.986389
7687.500000	-92.987160
7734.375000	-92.870285
7781.250000	-92.966286
7828.125000	-93.212738
7875.000000	-93.079330
7921.875000	-93.052902
7968.750000	-92.598808
8015.625000	-92.052483
8062.500000	-92.301361
8109.375000	-92.724747
8156.250000	-92.911644
8203.125000	-93.014709
8250.000000	-93.114716
8296.875000	-93.105125
8343.750000	-92.820038
8390.625000	-93.051521
8437.500000	-92.699860
8484.375000	-92.876289
8531.250000	-93.164909
8578.125000	-92.965370
8625.000000	-92.788567
8671.875000	-92.758583
8718.750000	-92.647614
8765.625000	-92.829987
8812.500000	-92.602951
8859.375000	-92.609238
8906.250000	-93.057251
8953.125000	-92.997772
9000.000000	-92.935318
9046.875000	-92.884659
9093.750000	-92.632256
9140.625000	-92.355644
9187.500000	-92.541115
9234.375000	-92.596100
9281.250000	-92.378571
9328.125000	-92.558144
