Frequency (Hz)	Level (dB)
46.875000	-30.923986
93.750000	-42.507580
140.625000	-53.743279
187.500000	-50.823780
234.375000	-50.210003
281.250000	-53.398640
328.125000	-56.998928
375.000000	-59.358433
421.875000	-61.320503
468.750000	-62.106312
515.625000	-61.230221
562.500000	-60.889980
609.375000	-62.869534
656.250000	-62.982941
703.125000	-63.648869
750.000000	-65.593430
796.875000	-66.090790
843.750000	-66.488319
890.625000	-67.600838
937.500000	-67.502464
984.375000	-66.150757
1031.250000	-65.929138
1078.125000	-66.837494
1125.000000	-67.805382
1171.875000	-67.284508
1218.750000	-66.944611
1265.625000	-67.050560
1312.500000	-67.127518
1359.375000	-66.976265
1406.250000	-66.264175
1453.125000	-65.971909
1500.000000	-65.790894
1546.875000	-65.472382
1593.750000	-66.079643
1640.625000	-67.462700
1687.500000	-68.000229
1734.375000	-67.893600
1781.250000	-68.048897
1828.125000	-67.389488
1875.000000	-68.025131
1921.875000	-68.229813
1968.750000	-68.684456
2015.625000	-68.657555
2062.500000	-69.638374
2109.375000	-69.560982
2156.250000	-69.092964
2203.125000	-69.426567
2250.000000	-69.542183
2296.875000	-69.941040
2343.750000	-71.386856
2390.625000	-70.207832
2437.500000	-69.421501
2484.375000	-68.715157
2531.250000	-68.236763
2578.125000	-68.649582
2625.000000	-69.152229
2671.875000	-69.595909
2718.750000	-70.043968
2765.625000	-69.638748
2812.500000	-69.669060
2859.375000	-68.667694
2906.250000	-67.334045
2953.125000	-66.803047
3000.000000	-66.849091
3046.875000	-67.084648
3093.750000	-67.067673
3140.625000	-66.748787
3187.500000	-67.277344
3234.375000	-67.807213
3281.250000	-68.067177
3328.125000	-68.351494
3375.000000	-68.216171
3421.875000	-67.670647
3468.750000	-67.730125
3515.625000	-67.834366
3562.500000	-68.066162
3609.375000	-68.322388
3656.250000	-68.334778
3703.125000	-68.916710
3750.000000	-69.234245
3796.875000	-69.206055
3843.750000	-68.573074
3890.625000	-68.465218
3937.500000	-68.338661
3984.375000	-68.208939
4031.250000	-67.531395
4078.125000	-67.496788
4125.000000	-68.498566
4171.875000	-68.012054
4218.750000	-68.375473
4265.625000	-68.113022
4312.500000	-68.879578
4359.375000	-68.861816
4406.250000	-68.770844
4453.125000	-68.412018
4500.000000	-68.528831
4546.875000	-67.306320
4593.750000	-68.523964
4640.625000	-65.105354
4687.500000	-66.794548
4734.375000	-68.795990
4781.250000	-69.347420
4828.125000	-69.272690
4875.000000	-69.212212
4921.875000	-70.321747
