Frequency (Hz)	Level (dB)
46.875000	-25.638401
93.750000	-31.804630
140.625000	-38.997276
187.500000	-43.437309
234.375000	-44.953251
281.250000	-46.837063
328.125000	-45.801655
375.000000	-47.539124
421.875000	-47.636852
468.750000	-45.504799
515.625000	-47.518017
562.500000	-49.496197
609.375000	-48.529831
656.250000	-49.941563
703.125000	-48.879948
750.000000	-47.241951
796.875000	-48.398407
843.750000	-48.257957
890.625000	-43.559059
937.500000	-38.965099
984.375000	-34.577393
1031.250000	-30.842890
1078.125000	-24.030867
1125.000000	-19.394407
1171.875000	-22.820396
1218.750000	-21.836924
1265.625000	-19.875370
1312.500000	-27.316288
1359.375000	-43.062077
1406.250000	-45.899158
1453.125000	-42.402451
1500.000000	-41.819107
1546.875000	-46.721218
1593.750000	-41.299988
1640.625000	-40.479321
1687.500000	-40.271149
1734.375000	-40.571182
1781.250000	-46.957779
1828.125000	-48.474434
1875.000000	-47.219482
1921.875000	-46.089069
1968.750000	-45.963272
2015.625000	-42.896858
2062.500000	-42.945011
2109.375000	-42.872704
2156.250000	-32.605087
2203.125000	-22.955929
2250.000000	-23.034996
2296.875000	-30.310982
2343.750000	-39.027512
2390.625000	-42.398533
2437.500000	-38.977013
2484.375000	-33.608047
2531.250000	-32.527657
2578.125000	-37.085358
2625.000000	-41.619064
2671.875000	-40.352047
2718.750000	-34.963821
2765.625000	-35.774384
2812.500000	-40.811600
2859.375000	-39.505623
2906.250000	-38.385265
2953.125000	-36.473038
3000.000000	-32.436810
3046.875000	-26.909313
3093.750000	-24.972948
3140.625000	-26.165897
3187.500000	-28.791948
3234.375000	-34.762604
3281.250000	-35.098335
3328.125000	-28.210804
3375.000000	-27.591631
3421.875000	-32.940929
3468.750000	-35.147942
3515.625000	-38.946667
3562.500000	-43.436722
3609.375000	-42.766281
3656.250000	-42.025620
3703.125000	-41.273582
3750.000000	-38.956978
3796.875000	-37.415470
3843.750000	-41.158699
3890.625000	-44.297485
3937.500000	-44.965286
3984.375000	-43.478729
4031.250000	-44.744576
4078.125000	-45.564739
4125.000000	-46.577663
4171.875000	-49.376694
4218.750000	-52.955536
4265.625000	-49.606220
4312.500000	-44.590679
4359.375000	-37.289421
4406.250000	-29.075258
4453.125000	-29.154200
4500.000000	-34.473713
4546.875000	-41.147282
4593.750000	-44.236275
4640.625000	-46.610584
4687.500000	-52.509472
4734.375000	-52.064529
4781.250000	-52.779381
4828.125000	-57.541649
4875.000000	-52.673828
4921.875000	-48.222683
4968.750000	-46.207142
5015.625000	-45.569664
5062.500000	-45.552914
5109.375000	-50.673244
5156.250000	-56.121181
5203.125000	-60.832870
5250.000000	-64.598648
5296.875000	-65.368271
5343.750000	-63.904678
5390.625000	-63.267548
5437.500000	-60.881859
5484.375000	-53.626812
5531.250000	-48.016773
5578.125000	-45.532135
5625.000000	-46.148479
5671.875000	-51.828423
5718.750000	-61.292683
5765.625000	-62.235321
5812.500000	-59.356709
5859.375000	-59.739899
5906.250000	-63.110477
5953.125000	-61.497482
6000.000000	-59.116699
6046.875000	-54.596146
6093.750000	-51.994747
6140.625000	-50.566586
6187.500000	-46.039013
6234.375000	-46.380566
6281.250000	-49.990364
6328.125000	-53.598446
6375.000000	-58.023663
6421.875000	-60.153496
6468.750000	-57.848465
6515.625000	-55.857536
6562.500000	-53.826630
6609.375000	-43.395668
6656.250000	-42.978577
6703.125000	-47.668900
6750.000000	-54.454720
6796.875000	-59.698799
6843.750000	-60.408184
6890.625000	-62.124203
6937.500000	-62.207561
6984.375000	-62.224319
7031.250000	-61.624340
7078.125000	-58.854439
7125.000000	-55.955982
7171.875000	-55.702023
7218.750000	-57.398312
7265.625000	-57.274841
7312.500000	-56.244175
7359.375000	-58.201160
7406.250000	-59.645798
7453.125000	-61.146709
7500.000000	-64.620903
7546.875000	-59.772331
7593.750000	-61.791813
7640.625000	-67.752197
7687.500000	-55.837608
7734.375000	-50.755924
7781.250000	-51.801044
7828.125000	-53.594135
7875.000000	-55.077763
7921.875000	-58.090824
7968.750000	-59.457382
8015.625000	-60.846264
8062.500000	-62.457882
8109.375000	-63.410847
8156.250000	-64.894073
8203.125000	-64.779243
8250.000000	-62.081924
8296.875000	-59.171932
8343.750000	-58.693474
8390.625000	-62.352226
8437.500000	-63.998932
8484.375000	-64.283127
8531.250000	-67.889076
8578.125000	-67.694649
8625.000000	-65.916954
8671.875000	-61.490170
8718.750000	-62.367630
8765.625000	-62.611481
8812.500000	-51.938179
8859.375000	-51.087269
8906.250000	-56.215675
8953.125000	-59.718643
9000.000000	-63.478687
9046.875000	-67.638748
9093.750000	-69.655830
9140.625000	-71.467628
9187.500000	-73.518196
9234.375000	-72.304298
9281.250000	-70.248703
9328.125000	-69.169296
9375.000000	-68.595123
9421.875000	-68.324852
9468.750000	-67.272346
9515.625000	-68.548248
9562.500000	-72.181564
9609.375000	-71.435173
9656.250000	-70.844086
9703.125000	-71.060020
9750.000000	-70.508682
9796.875000	-68.821877
9843.750000	-65.323746
9890.625000	-61.160332
9937.500000	-58.330784
9984.375000	-59.410675
10031.250000	-60.291965
10078.125000	-59.510391
10125.000000	-60.905258
10171.875000	-64.322685
10218.750000	-65.477051
10265.625000	-65.085594
10312.500000	-64.499588
10359.375000	-63.314423
10406.250000	-63.065201
10453.125000	-63.676350
10500.000000	-65.244942
10546.875000	-66.525116
10593.750000	-65.435623
10640.625000	-66.247581
10687.500000	-68.621010
10734.375000	-70.446358
10781.250000	-70.384743
10828.125000	-71.645058
10875.000000	-74.514206
10921.875000	-76.227051
10968.750000	-70.563576
11015.625000	-61.673523
11062.500000	-59.907627
11109.375000	-63.317741
11156.250000	-65.832603
11203.125000	-66.173782
11250.000000	-67.655937
11296.875000	-69.175781
11343.750000	-68.176186
11390.625000	-65.717438
11437.500000	-67.428833
11484.375000	-70.812935
11531.250000	-70.878349
11578.125000	-70.576653
11625.000000	-72.327156
11671.875000	-74.569969
11718.750000	-74.314034
11765.625000	-72.843491
11812.500000	-73.728004
11859.375000	-75.990028
11906.250000	-77.722504
11953.125000	-75.957420
12000.000000	-73.603218
12046.875000	-72.179680
12093.750000	-72.297745
12140.625000	-70.241547
12187.500000	-72.271339
12234.375000	-74.857117
12281.250000	-72.823135
12328.125000	-71.029037
12375.000000	-71.384476
12421.875000	-72.728813
12468.750000	-72.042526
12515.625000	-72.568092
12562.500000	-73.714569
12609.375000	-73.623970
12656.250000	-74.734375
12703.125000	-75.089844
12750.000000	-75.131981
12796.875000	-77.004868
12843.750000	-83.276901
12890.625000	-80.527229
12937.500000	-80.414360
12984.375000	-80.939667
13031.250000	-79.117653
13078.125000	-77.635071
13125.000000	-76.698006
13171.875000	-76.767952
13218.750000	-69.558815
13265.625000	-64.874359
13312.500000	-65.026199
13359.375000	-64.413216
13406.250000	-64.314171
13453.125000	-62.348885
13500.000000	-65.731186
13546.875000	-68.883957
13593.750000	-68.322258
13640.625000	-69.741997
13687.500000	-71.467117
13734.375000	-72.440933
13781.250000	-72.533920
13828.125000	-73.392830
13875.000000	-74.462196
13921.875000	-75.335129
13968.750000	-76.230713
14015.625000	-76.049347
14062.500000	-80.086578
14109.375000	-80.654221
14156.250000	-79.841087
14203.125000	-79.095055
14250.000000	-79.731224
14296.875000	-80.904510
14343.750000	-73.468010
14390.625000	-70.784592
14437.500000	-69.374664
14484.375000	-70.589622
14531.250000	-72.277390
14578.125000	-71.422501
14625.000000	-75.824265
14671.875000	-78.917107
14718.750000	-80.139870
14765.625000	-75.895409
14812.500000	-74.786217
14859.375000	-74.755356
14906.250000	-77.061646
14953.125000	-80.492531
15000.000000	-78.305611
15046.875000	-78.687271
15093.750000	-81.201019
15140.625000	-81.591690
15187.500000	-83.947365
15234.375000	-82.498184
15281.250000	-80.758888
15328.125000	-80.496269
15375.000000	-80.547363
15421.875000	-75.464622
15468.750000	-73.105774
15515.625000	-73.200668
15562.500000	-69.442482
15609.375000	-69.887672
15656.250000	-67.563911
15703.125000	-67.162361
15750.000000	-71.823280
15796.875000	-75.523331
15843.750000	-76.808304
15890.625000	-77.854836
15937.500000	-77.511421
15984.375000	-75.994431
16031.250000	-74.847160
16078.125000	-76.469482
16125.000000	-75.203362
16171.875000	-76.959145
16218.750000	-78.673645
16265.625000	-81.429871
16312.500000	-84.889412
16359.375000	-84.852455
16406.250000	-83.973495
16453.125000	-82.300735
16500.000000	-81.851265
16546.875000	-75.375504
16593.750000	-72.009636
